Marche;Origine;Heure;Terminus;Heure
Ligne Marseille - Briançon;;;;
17353;Veynes-Dévoluy - BV;12.46;Briançon - 00;14.25
17361;Veynes-Dévoluy - BV;16.59;Briançon - 00;18.32
17364;Briançon - 00;06.14;Veynes-Dévoluy - BV;07.51
17368;Briançon - 00;09.40;Veynes-Dévoluy - BV;11.13
17376;Briançon - 00;15.14;Veynes-Dévoluy - BV;16.44
880693;Sisteron - BV;05.47;Marseille-St-Charles - BV;07.49
17421;Gap - BV;05.07;Marseille-St-Charles - BV;08.19
17425;Gap - BV;05.37;Marseille-St-Charles - BV;08.48
17400;Marseille-St-Charles - BV;07.41;Briançon - 00;12.07
17433;Briançon - 00;08.27;Marseille-St-Charles - BV;12.49
17404;Marseille-St-Charles - BV;13.11;Briançon - 00;17.51
17437;Briançon - 00;12.47;Marseille-St-Charles - BV;17.19
17408;Marseille-St-Charles - BV;16.41;Briançon - 00;21.27
880692;Marseille-St-Charles - BV;17.41;Sisteron - BV;19.45
17416;Marseille-St-Charles - BV;18.41;Gap - BV;21.49
17445;Briançon - 00;17.26;Marseille-St-Charles - BV;21.49
17455;Veynes-Dévoluy - BV;09.03;Briançon - 00;10.59
Ligne Intervilles Marseille - Lyon ;;;;
17700;Marseille-St-Charles - BV;06.50;Lyon-Part-Dieu - BV;10.40
17701;Lyon-Part-Dieu - BV;07.20;Marseille-St-Charles - BV;11.13
17702;Marseille-St-Charles - BV;12.53;Lyon-Part-Dieu - BV;16.40
17703;Lyon-Part-Dieu - BV;12.20;Marseille-St-Charles - BV;16.13
17704;Marseille-St-Charles - BV;16.52;Lyon-Part-Dieu - BV;20.40
17705;Lyon-Part-Dieu - BV;17.20;Marseille-St-Charles - BV;21.11
Ligne Marseille - Avignon via Rognac;;;;
879102;Marseille-St-Charles - BV;07.18;Miramas - BV;07.51
879103;Miramas - BV;06.03;Marseille-St-Charles - BV;06.48
879106;Marseille-St-Charles - BV;09.40;Miramas - BV;10.23
879109;Miramas - BV;17.25;Marseille-St-Charles - BV;18.11
879110;Marseille-St-Charles - BV;21.40;Miramas - BV;22.26
Ligne Avignon TGV - Capentras;;;;
879302;Avignon-TGV - BV;06.08;Carpentras - BV;06.48
879303;Avignon - BV;05.39;Avignon-TGV - BV;05.44
879306;Avignon-TGV - BV;06.40;Carpentras - BV;07.19
