rame,marche,gare_depart,depart,gare_arrivee,arrivee,vide_voyageur,type,axe,distance_km,materiel
81501,879399,AVG,5.5,CAS,5.833,True,MOVE,avignon – tgv – capentras,28.0,BGC
81502,EVM5.65AVI,AVG,5.317,AVI,5.4,True,MOVE,avignon – tgv – capentras,2.0,BGC
81502,879303,AVI,5.65,AVV,5.733,False,MOVE,avignon – tgv – capentras,4.0,BGC
81501,879307,CAS,6.1,AVV,6.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879302,AVV,6.133,CAS,6.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,EVM6.667AVV,AVG,6.334,AVV,6.417,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,879306,AVV,6.667,CAS,7.317,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879311,CAS,7.1,AVV,7.75,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879310,AVV,7.15,CAS,7.833,False,MOVE,avignon – tgv – capentras,30.0,BGC
81504,EVM7.333AVI,AVG,7.0,AVI,7.083,True,MOVE,avignon – tgv – capentras,2.0,BGC
81504,879313,AVI,7.333,AVV,7.433,False,MOVE,avignon – tgv – capentras,4.0,BGC
81503,879315,CAS,7.583,AVV,8.283,False,MOVE,avignon – tgv – capentras,30.0,BGC
81505,EVM7.633AVV,AVG,7.3,AVV,7.383,True,MOVE,avignon – tgv – capentras,2.0,BGC
81505,879314,AVV,7.633,CAS,8.333,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879319,CAS,8.1,AVV,8.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879318,AVV,8.133,CAS,8.833,False,MOVE,avignon – tgv – capentras,30.0,BGC
81505,879323,CAS,8.583,AVV,9.283,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879325,CAS,9.1,AVV,9.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879322,AVV,9.133,CAS,9.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,EVI81503,AVV,8.533,AVG,8.616,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,EVO81503,AVG,9.299999999999999,AVV,9.383,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,879324,AVV,9.633,AVI,9.717,False,MOVE,avignon – tgv – capentras,4.0,BGC
